round,source,organization,amount_usd,receiving_charity,purpose,note,year
2023/h2,,Campaign for Responsible AI,250000.0,Campaign for Responsible AI,General Support,"Amount (Jaan Tallinn via LSG): $250,000 ($250,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Campos Safer AI Project,325800.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $325,800 ($144,800)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Carey AI Safety Research,191000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $191,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Carroll Developmental Interpretability,50900.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $50,900 ($31,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Cavendish Labs Co.,88000.0,"Cavendish Labs, Co.",General Support,"Amount (Jaan Tallinn via LSG): $88,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Center for AI Safety Action Fund,420000.0,N/A,General Support,"Amount (Jaan Tallinn via LSG): $22,125 ¶ ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $397,875 ($600,000)†",2023
2023/h2,,"Center for AI Safety, Inc.",909154.0,"Center for Artificial Intelligence Safety, Inc.",General Support,"Amount (Jaan Tallinn via LSG): $16,154 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $893,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Centre for the Governance of AI (GovAI),5000.0,Effective Ventures Foundation,General Support of GovAI,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $5,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Chaudhry AI-Bio Policy,1000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $1,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Colbourn AGI Moratorium,30000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $30,000 ($30,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Community Health and Special Projects team at the Centre for Effective Altruism,113000.0,"Effective Ventures Foundation USA, Inc.",General Support of Community Health and Special Projects team at the Centre for Effective Altruism,"Amount (Jaan Tallinn via LSG): $113,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Coordination Project,29000.0,Center for Applied Rationality,General Support of Coordination Project,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $29,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Csendes Cavendish Scholarship,5000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $5,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Dupuis Cyborg Cognition,87000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $87,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Earth Law Center,24000.0,Earth Law Center,General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $24,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Effective Altruism Sweden Rationality Research Project,126600.0,Effektiv Altruism Sverige (Effective Altruism Sweden),General Support of Effective Altruism Sweden Rationality Research Project,"Amount (Jaan Tallinn via LSG): $126,600 ($60,600)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,EffiSciences,10000.0,EffiSciences,General Support,"Amount (Jaan Tallinn via LSG): $10,000 ($10,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Elmore AI Moratorium Movement,88900.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $88,900 ($69,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,ENAIS,55000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $55,000 ($55,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Epistea,229000.0,"Epistea, z. s.",General Support,"Amount (Jaan Tallinn via LSG): $229,000 ($40,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,"FAR AI, Inc.",876577.0,"FAR AI, Inc.",General Support,"Amount (Jaan Tallinn via LSG): $472,577 ($411,600)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $404,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Farnik Interpretability,60000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $60,000 ($60,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Filan AI Risk Podcast,2200.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $2,200 ($1,200)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Fønix,378000.0,Effektiv Altruism Sverige,General Support of Fønix,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $378,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Foundation for American Innovation,189000.0,Lincoln Network (dba The Foundation for American Innovation),General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $189,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Fox Agency Research,32500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $32,500 ($31,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Freestyle Research,96000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $96,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Gleave Alignment Summit,187500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $187,500 ($134,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Global Shield,82700.0,Social and Environmental Entrepreneurs,General Support of Global Shield,"Amount (Jaan Tallinn via LSG): $82,700 ($82,700)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): 0",2023
