round,source,organization,amount_usd,receiving_charity,purpose,note,year
2023/h2,,Schons AI Pharma Regulation,40400.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $40,400 ($30,400)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,SecureBio,548000.0,"SecureBio, Inc.",General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $548,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,SecureDNA,835930.0,SecureDNA Stiftung,General Support,"Amount (Jaan Tallinn via LSG): $32,930 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $803,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,SERI ML Alignment Theory Scholars Program,345818.0,Berkeley Existential Risk Initiative,General Support of SERI ML Alignment Theory Scholars Program,"Amount (Jaan Tallinn via LSG): $297,818 ¶ ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $48,000 ($885,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Shai Interpretability Research,75500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $75,500 ($57,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Shard Theory Model Internals,116500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $116,500 ($96,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Short Women in AI Safety,52400.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $52,400 ($30,400)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,SLT Summit organizers,20000.0,Center for Applied Rationality,General Support of SLT Summit organizers,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $20,000 ($20,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Stampy’s AI Safety Info,99000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $99,000 ($75,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Technologies for Pandemic Defense,86000.0,Convergence Analysis,General Support of Technologies for Pandemic Defense,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $86,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The AI Governance & Strategy team within Rethink Priorities,402000.0,Rethink Priorities,General Support of The AI Governance & Strategy team within Rethink Priorities,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $402,000 ($175,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The Australian Responsible Autonomous Agents Group,83000.0,Federation University Australia,General Support of the Australian Responsible Autonomous Agents Group,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $83,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The Center for Election Science,96000.0,The Center for Election Science,General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $96,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The Centre for Long-Term Resilience (Alpenglow Group Limited),1055500.0,Founders Pledge,General Support of The Centre for Long-Term Resilience (Alpenglow Group Limited),"Amount (Jaan Tallinn via LSG): $226,500 ($226,500)‡ | Amount (FLI): $769,000 | Amount (Jaan Tallinn via SFF): $60,000 ($577,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The Events team at the Centre for Effective Altruism,166000.0,"Effective Ventures Foundation USA, Inc.",General Support for The Events team at the Centre for Effective Altruism,"Amount (Jaan Tallinn via LSG): $166,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,"The Future Society, Inc.",376000.0,"The Future Society, Inc.",General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $365,000 | Amount (Jaan Tallinn via SFF): $11,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The Intrinsic Perspective,24000.0,"SciArt Initiative, Inc.",General Support of The Intrinsic Perspective,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $24,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,The Rethink Priorities Existential Security Team (XST),49000.0,Rethink Priorities,General Support of The Rethink Priorities Existential Security Team (XST),"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $49,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Thibodeau Alignment Research,88000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $88,000 ($71,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Timaeus,455400.0,Ashgro Inc,General Support of Timaeus,"Amount (Jaan Tallinn via LSG): $29,400 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $426,000 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Topos Institute,4000.0,Topos Institute,General Support,"Amount (Jaan Tallinn via LSG): $0 | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $4,000 ($70,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Van Nostrand Paradigms,19300.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $19,300 ($16,300)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Van Nostrand Stimulant,22500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $22,500 ($22,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Van Nostrand Vegan Nutrition,60000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $60,000 ($25,000)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Vinelight,46000.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $46,000 ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Vipra AI Trade Safety Assessment,54900.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $54,900 ($35,900)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Vymenets Translations,7300.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $7,300 ($4,300)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Wang AI Safety Research,244500.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $244,500 ($233,500)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Ward AI Safety Outreach,24600.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $24,600 ($18,600)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Wiebe Replication Crisis,16800.0,TBD via Lightspeed Grant announcement,TBD via Lightspeed Grant announcement,"Amount (Jaan Tallinn via LSG): $16,800 ($15,800)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 | Amount (Jaan Tallinn via SFC): $0",2023
2023/h2,,Wytham Abbey,76000.0,Effective Ventures Foundation,General Support of Wytham Abbey,"Amount (Jaan Tallinn via LSG): $76,000 ¶ ($0)‡ | Amount (FLI): $0 | Amount (Jaan Tallinn via SFF): $0 ($275,000)† | Amount (Jaan Tallinn via SFC): $0",2023
2024,Jaan Tallinn,AGI Inherent Non-Safety,135000.0,Players Philanthropy Fund,General support of AGI Inherent Non-Safety,"$135,000 ($10,000)†",2024
2024,Jaan Tallinn,AI Futures Project,505000.0,"Epistea, z.s.",General support of AI Futures Project,"$505,000 ($190,000)†",2024
2024,Jaan Tallinn,AI Objectives Institute,538000.0,AI Objectives Institute,General support,"$538,000",2024
2024,Jaan Tallinn,AI Risk Mitigation Fund,530000.0,Centre For Effective Altruism Usa Inc.,General support of AI Risk Mitigation Fund,"$530,000 ($20,000)†",2024
2024,Jaan Tallinn,AI Safety Info,47000.0,Ashgro Inc.,General support of AI Safety Info,"$47,000 ($60,000)†",2024
2024,Jaan Tallinn,AI Standards Lab and Holtman Systems Research,184000.0,Players Philanthropy Fund,General support of AI Standards Lab and Holtman Systems Research,"$184,000 ($20,000)†",2024
2024,Jaan Tallinn,AI: Futures and Responsibility Programme,280000.0,University of Cambridge,General support of AI: Futures and Responsibility Programme,"$280,000 ($20,000)†",2024
2024,Jaan Tallinn,Alignment of Complex Systems Research Group (ACS),64000.0,Epistea z.s.,General support of Alignment of Complex Systems Research Group (ACS),"$64,000 ($40,000)†",2024
2024,Jaan Tallinn,Alignment Research Center,197000.0,Alignment Research Center,General support,"$197,000 ($50,000)†",2024
2024,Jaan Tallinn,Alliance to Feed the Earth in Disasters (ALLFED),113000.0,ALLFED Institute,General support,"$113,000 ($10,000)†",2024
2024,Jaan Tallinn,Apart Research,294000.0,Ashgro Inc.,General support of Apart Research,"$294,000 ($20,000)†",2024
2024,Jaan Tallinn,Apollo Research,251000.0,Rethink Priorities,General support of Apollo Research,"$251,000 ($10,000)†",2024
2024,Jaan Tallinn,Balsa Policy Institute Inc.,33000.0,Balsa Policy Institute Inc.,General support,"$33,000 ($10,000)†",2024
2024,Jaan Tallinn,Basis Research Institute,296000.0,Basis Research Institute,General support,"$296,000",2024
2024,Jaan Tallinn,BERI-DMIP Collaboration,66000.0,Berkeley Existential Risk Initiative,General support of BERI-DMIP Collaboration,"$66,000 ($10,000)†",2024
2024,Jaan Tallinn,Berkeley Existential Risk Initiative,126000.0,Berkeley Existential Risk Initiative,General support,"$126,000 ($20,000)†",2024
2024,Jaan Tallinn,Blueprint Biosecurity,78000.0,Blueprint Biosecurity,General support,"$78,000 ($15,000)†",2024
2024,Jaan Tallinn,Brown University AI Governance Lab,326000.0,Brown University,General support of Brown University AI Governance Lab,"$326,000",2024
2024,Jaan Tallinn,Center for AI Policy,288000.0,"Center for AI Policy, Inc.",General support,"$288,000 ($10,000)†",2024
2024,Jaan Tallinn,"Center for AI Safety Action Fund, Inc.",1621000.0,"Center for AI Safety Action Fund, Inc.",General support,"$1,621,000 ($1,120,000)†",2024
2024,Jaan Tallinn,"Center for AI Safety, Inc.",1146000.0,"Center for AI Safety, Inc.",General support,"$1,146,000 ($50,000)†",2024
2024,Jaan Tallinn,Center for Law and AI Risk,134000.0,Pledged,General support of Center for Law and AI Risk,"$134,000 ($20,000)†",2024
2024,Jaan Tallinn,CeSIA,48000.0,EffiSciences,General support of CeSIA,"$48,000 ($20,000)†",2024
2024,Jaan Tallinn,Charter Cities Institute**,119000.0,Charter Cities Institute,General support,"$119,000 ($20,000)†",2024
2024,Jaan Tallinn,Convergence: AI Clarity,67000.0,Convergence Analysis,General support of Convergence: AI Clarity,"$67,000 ($20,000)†",2024
2024,Jaan Tallinn,Decode Research,133000.0,Ashgro Inc.,General support of Decode Research,"$133,000 ($20,000)†",2024
2024,Jaan Tallinn,Effective Institutions Project,145000.0,Effective Institutions Project Inc.,General support,"$145,000 ($210,000)†",2024
2024,Jaan Tallinn,Eisenstat Research Directions,103000.0,Machine Intelligence Research Institute Inc. & Ashgro Inc.‡,General support of Eisenstat Research Directions,"$103,000 ($20,000)†",2024
2024,Jaan Tallinn,Encode Justice,50000.0,March On Foundation,General support of Encode Justice,"$50,000 ($10,000)†",2024
2024,Jaan Tallinn,"FAR AI, Inc.",383000.0,"FAR AI, Inc.",General support,"$383,000 ($20,000)†",2024
2024,Jaan Tallinn,Foundation for American Innovation,518000.0,"Lincoln Network, Inc.",General support of Foundation for American Innovation,"$518,000 ($25,000)†",2024
2024,Jaan Tallinn,Foxglove,5000.0,Foxglove Legal CIC,General support,"$5,000",2024
2024,Jaan Tallinn,Global Catastrophic Risk Institute,53000.0,Social and Environmental Entrepreneurs,General support of Global Catastrophic Risk Institute,"$53,000 ($10,000)†",2024
2024,Jaan Tallinn,Global Shield,424000.0,Social and Environmental Entrepreneurs,General support of Global Shield,"$424,000 ($20,000)†",2024
2024,Jaan Tallinn,Good Ancestors Policy,171000.0,Good Ancestors Policy Ltd.,General support,"$171,000 ($10,000)†",2024
2024,Jaan Tallinn,History Lab,27000.0,The Trustees of Columbia University in the City of New York,General support of History Lab,"$27,000",2024
2024,Jaan Tallinn,Impact Academy Limited,72000.0,Stiftelsen Impact Academy,General support of Impact Academy Limited,"$72,000 ($10,000)†",2024
2024,Jaan Tallinn,Institute for AI Policy and Strategy,183000.0,Rethink Priorities,General support of Institute for AI Policy and Strategy,"$183,000 ($30,000)†",2024
2024,Jaan Tallinn,JUSTICE,258000.0,JUSTICE,General support,"$258,000",2024
2024,Jaan Tallinn,Langsikt - Centre for Long-Term Policy,199000.0,Senter for langsiktig politikk AS,General support of Langsikt - Centre for Long-Term Policy,"$199,000 ($10,000)†",2024
2024,Jaan Tallinn,"Legal Advocates for Safe Science and Technology, Inc.",278000.0,"Legal Advocates for Safe Science and Technology, Inc.",General support,"$278,000 ($10,000)†",2024
2024,Jaan Tallinn,Legal Safety Lab,29000.0,Legal Advocates for Safe Science and Technology Inc.,General support of Legal Safety Lab,"$29,000 ($20,000)†",2024
2024,Jaan Tallinn,Lightcone Infrastructure Inc.,513500.0,Lightcone Infrastructure Inc.,General support,"$513,500 ($420,000)†",2024
2024,Jaan Tallinn,Longview Philanthropy,522000.0,Longview Philanthropy USA Inc.,General support,"$522,000 ($10,000)†",2024
2024,Jaan Tallinn,"Machine Intelligence and Normative Theory lab, ANU",32000.0,Australian National University,"General support of Machine Intelligence and Normative Theory lab, ANU","$32,000 ($480,000)†",2024
2024,Jaan Tallinn,Machine Intelligence Research Institute,54000.0,Machine Intelligence Research Institute Inc.,General support,"$54,000 ($40,000)†",2024
2024,Jaan Tallinn,Machine Learning for Socio-technical Systems Lab,163000.0,The University of Rhode Island Foundation & Alumni Engagement,General support of Machine Learning for Socio-technical Systems Lab,"$163,000",2024
2024,Jaan Tallinn,Macrostrategy Research Initiative,154000.0,Lightcone Infrastructure Inc.,General support of Macrostrategy Research Initiative,"$154,000 ($170,000)†",2024
2024,Jaan Tallinn,Manifund,90000.0,Manifold for Charity,General support,"$90,000 ($60,000)†",2024
2024,Jaan Tallinn,Mathematical Metaphysics Institute,53000.0,Mathematical Metaphysics Institute,General support,"$53,000 ($260,000)†",2024
2024,Jaan Tallinn,MATS Research,639000.0,"MATS Research, Inc.",General support,"$639,000 ($55,000)†",2024
2024,Jaan Tallinn,Meaning Alignment Institute,145000.0,Hack Foundation,General support of Meaning Alignment Institute,"$145,000 ($20,000)†",2024
2024,Jaan Tallinn,Model Evaluation and Threat Research,204000.0,"Model Evaluation and Threat Research, Inc.",General support,"$204,000 ($20,000)†",2024
2024,Jaan Tallinn,MSEP Project,166000.0,"Science and Technology Futures, Inc.",General support of MSEP Project,"$166,000 ($85,000)†",2024
2024,Jaan Tallinn,Oxford China Policy Lab,219000.0,Berkeley Existential Risk Initiative,General support of Oxford China Policy Lab,"$219,000 ($10,000)†",2024
2024,Jaan Tallinn,Palisade Research,586000.0,Palisade Research Inc.,General support,"$586,000 ($230,000)†",2024
2024,Jaan Tallinn,Palladium Magazine,42000.0,American Governance Foundation Inc.,General support of Palladium Magazine,"$42,000 ($100,000)†",2024
2024,Jaan Tallinn,Pour Demain,70000.0,Pour Demain,General support,"$70,000 ($10,000)†",2024
2024,Jaan Tallinn,Psychosecurity Ethics @ EURAIO,38000.0,Players Philanthropy Fund,General support of Psychosecurity Ethics @ EURAIO,"$38,000 ($19,720)†",2024
2024,Jaan Tallinn,Regents of the University of California at Berkeley,365000.0,Regents of the University of California at Berkeley,General support of Prof. Emma Pierson,"$365,000",2024
2024,Jaan Tallinn,Rethink Priorities,99000.0,Rethink Priorities,General support,"$99,000 ($25,000)†",2024
2024,Jaan Tallinn,Safe AI Forum,580000.0,"FAR AI, Inc.",General support of Safe AI Forum,"$580,000 ($40,000)†",2024
2024,Jaan Tallinn,SaferAI,95000.0,SaferAI,General support,"$95,000 ($25,000)†",2024
2024,Jaan Tallinn,SecureBio,254000.0,"SecureBio, Inc.",General support,"$254,000 ($30,000)†",2024
2024,Jaan Tallinn,SecureDNA,128000.0,"SecureBio, Inc.",General support of SecureDNA,"$128,000 ($20,000)†",2024
2024,Jaan Tallinn,Sentinel,131000.0,"Epistea, z. s.",General support of Sentinel,"$131,000 ($10,000)†",2024
2024,Jaan Tallinn,Simon Institute for Longterm Governance,364000.0,Simon Institute for Longterm Governance,General support,"$364,000 ($20,000)†",2024
2024,Jaan Tallinn,Simplex,74000.0,"Epistea, z.s.",General support of Simplex,"$74,000 ($45,000)†",2024
2024,Jaan Tallinn,Talos Network gUG,123000.0,Talos Network gUG,General support,"$123,000 ($20,000)†",2024
2024,Jaan Tallinn,Tarbell Fellowship,520000.0,Players Philanthropy Fund,General support of Tarbell Fellowship,"$520,000 ($10,000)†",2024
2024,Jaan Tallinn,Technology Strategy Roleplay,9000.0,Technology Strategy Roleplay,General support,"$9,000 ($49,256)†",2024
2024,Jaan Tallinn,The AI Policy Institute,142000.0,Hack Foundation,General support of The AI Policy Institute,"$142,000 ($10,000)†",2024
2024,Jaan Tallinn,The Centre for Long-Term Resilience (CLTR),1083000.0,"Founders Pledge, Inc.",General support of The Centre for Long-Term Resilience (CLTR),"$1,083,000 ($110,000)†",2024
2024,Jaan Tallinn,The Foresight Institute,51000.0,The Foresight Institute,General support,"$51,000 ($10,000)†",2024
2024,Jaan Tallinn,"The Future Society, Inc.",97000.0,The Future Society Inc.,General support,"$97,000 ($50,000)†",2024
2024,Jaan Tallinn,The Midas Project,31000.0,"The Midas Project, Inc.",General support,"$31,000 ($10,000)†",2024
2024,Jaan Tallinn,The Quantified Uncertainty Research Institute,62000.0,Rethink Priorities,General support of The Quantified Uncertainty Research Institute,"$62,000 ($10,000)†",2024
2024,Jaan Tallinn,Timaeus,343000.0,Ashgro Inc.,General support of Timaeus,"$343,000 ($40,000)†",2024
2024,Jaan Tallinn,Topos Institute,213000.0,Topos Institute,General support,"$213,000 ($120,000)†",2024
2024,Jaan Tallinn,Vanderbilt University,38000.0,The Vanderbilt University,General support,"$38,000",2024
2025,Jaan Tallinn,Agent Foundations Field Network (AFFINE) [Algorithm Design],79000.0,"Ashgro, Inc.",General support of Algorithm Design,"$79,000",2025
2025,Jaan Tallinn,Agent Foundations Field Network (AFFINE) [Technical Research],165000.0,"Ashgro, Inc.",General support of Technical Research,"$165,000 Speculation: ($20,000)†",2025
2025,Jaan Tallinn,AI & Democracy Foundation,195000.0,"Thoughtful Tech Project, Inc.",General support,"$195,000 Speculation: ($110,000)†",2025
2025,Jaan Tallinn,AI Futures Project,2035000.0,AI Futures Project,General support,"$2,035,000 Speculation: ($95,000)† Matching: {$500,000}‡",2025
2025,Jaan Tallinn,AI Lab Watch,371000.0,"Lightcone Infrastructure, Inc.",General support of AI Lab Watch,"$371,000 Speculation: ($170,000)†",2025
2025,Jaan Tallinn,AI Policy Institute (AIPI),1635000.0,The Hack Foundation,General support of AI Policy Institute,"$1,635,000 Speculation: ($200,000)†",2025
2025,Jaan Tallinn,AI Safety Camp,200000.0,"Ashgro, Inc.",General support of AI Safety Camp,"$200,000 Speculation: ($20,000)† Matching: {$110,000}‡",2025
2025,Jaan Tallinn,AI Standards Lab and Holtman Systems Research,328000.0,"Players Philanthropy Fund, Inc.",General support of AI Standards Lab and Holtman Systems Research,"$328,000 Speculation: ($10,000)† Matching: {$100,000}‡",2025
2025,Jaan Tallinn,Alignment Ecosystem Development,91000.0,"Ashgro, Inc.",General support of Alignment Ecosystem Development,"$91,000 Speculation: ($10,000)†",2025
2025,Jaan Tallinn,Alignment in Complex Systems Research Group (ACS Research),706000.0,"Epistea, z.s.",General support of Alignment in Complex Systems Research Group,"$706,000 Speculation: ($30,000)† Matching: {$306,000}‡",2025
2025,Jaan Tallinn,Alliance to Feed the Earth in Disasters (ALLFED),30000.0,ALLFED Institute,General support,"$30,000 Speculation: ($40,000)†",2025
2025,Jaan Tallinn,Amplifying AI Safety,30000.0,"Epistea, z.s.",General support of Amplifying AI Safety,"$30,000 Speculation: ($30,000)†",2025
2025,Jaan Tallinn,Association for Long Term Existence and Resilience (ALTER),82000.0,Association for Long Term Existence and Resilience,General support,"$82,000 Speculation: ($60,000)† Matching: {$22,000}‡",2025
2025,Jaan Tallinn,Augur,160000.0,Augur LLC,General support,"$160,000 Speculation: ($20,000)†",2025
2025,Jaan Tallinn,BERI-CLTC Collaboration,141000.0,Berkeley Existential Risk Initiative,General support of BERI-CLTC Collaboration,"$141,000 Speculation: ($10,000)†",2025
2025,Jaan Tallinn,Catalyze Impact,74000.0,"Ashgro, Inc.",General support of Catalyze Impact,"$74,000 Speculation: ($40,000)†",2025
2025,Jaan Tallinn,Center for AI Safety (CAIS),289000.0,"Center for AI Safety, Inc.",General support,"$289,000 Speculation: ($433,911)†",2025
2025,Jaan Tallinn,Center for AI Safety Action Fund (CAIS AF),772000.0,"Center for AI Safety Action Fund, Inc.",General support,"$772,000 Speculation: ($285,000)†",2025
2025,Jaan Tallinn,Center for Humane Technology (CHT),468000.0,Center for Humane Technology,General support,"$468,000 Speculation: ($50,000)†",2025
2025,Jaan Tallinn,Center on Long-Term Risk (CLR),200000.0,Center on Long-Term Risk,General support,"$200,000",2025
2025,Jaan Tallinn,Centre for AI Security and Access (CASA),325000.0,Rethink Priorities,General support of Centre for AI Security and Access,"$325,000 Speculation: ($40,000)†",2025
2025,Jaan Tallinn,Centre for Effective Altruism (CEA),117000.0,"Effective Ventures Foundation USA, Inc.",General support of Centre for Effective Altruism,"$117,000 Speculation: ($40,000)†",2025
2025,Jaan Tallinn,Centre for Long-Term Resilience (CLTR),565000.0,"Founders Pledge, Inc.",General support of Centre for Long-Term Resilience,"$565,000 Speculation: ($40,000)† Matching: {$38,000}‡",2025
2025,Jaan Tallinn,Centre for the Governance of AI (GovAI),756000.0,"Centre for the Governance of AI, Inc.",General support,"$756,000 Speculation: ($60,000)† Matching: {$696,000}‡",2025
2025,Jaan Tallinn,Civic AI Security Program (CivAI),600000.0,"Civic AI Security Program, Inc.",General support,"$600,000",2025
2025,Jaan Tallinn,Compassion in Machine Learning (CaML),83000.0,"Players Philanthropy Fund, Inc.",General support of Compassion in Machine Learning,"$83,000 Matching: {$63,000}‡",2025
2025,Jaan Tallinn,Computational Rational Agents Laboratory (CORAL),140000.0,"Ashgro, Inc.",General support of Computational Rational Agents Laboratory,"$140,000 Speculation: ($50,000)†",2025
2025,Jaan Tallinn,Cornell University [Angelina Wang’s Responsible AI Lab],170000.0,Cornell University,General support of Angelina Wang’s Responsible AI Lab,"$170,000 Speculation: ($40,000)†",2025
2025,Jaan Tallinn,David Lorell,230000.0,"Lightcone Infrastructure, Inc.",General support of research led by David Lorrell,"$230,000 Speculation: ($130,000)†",2025
2025,Jaan Tallinn,Effective Institutions Project (EIP),378000.0,"Effective Institutions Project, Inc.",General support,"$378,000 Speculation: ($20,000)† Matching: {$358,000}‡",2025
2025,Jaan Tallinn,Eisenstat Research Program,593000.0,"Machine Intelligence Research Institute (1/2) & Ashgro, Inc. (1/2) §",General support of Eisenstat Research Program,"$593,000 Speculation: ($20,000)†",2025
2025,Jaan Tallinn,Encode AI Corporation,516000.0,Encode AI Corporation,General support,"$516,000 Speculation: ($234,000)†",2025
2025,Jaan Tallinn,Epistemic Garden,100000.0,Sentinel Research,General support of Epistemic Garden,"$100,000 Speculation: ($100,000)†",2025
2025,Jaan Tallinn,EthicsNet Creed.Space,80000.0,"Players Philanthropy Fund, Inc.",General support of EthicsNet Creed.Space,"$80,000 Speculation: ($30,000)†",2025
2025,Jaan Tallinn,FABRIC,85000.0,"FABRIC Labs, z.s.",General support,"$85,000 Speculation: ($10,000)† Matching: {$75,000}‡",2025
2025,Jaan Tallinn,FAR AI,919000.0,"FAR AI, Inc.",General support,"$919,000 Speculation: ($200,000)† Matching: {$719,000}‡",2025
2025,Jaan Tallinn,Flourishing Future Foundation (FFF),300000.0,Flourishing Future Foundation,General support,"$300,000 Speculation: ($30,000)† Matching: {$270,000}‡",2025
2025,Jaan Tallinn,Foresight Institute,175000.0,The Foresight Institute,General support,"$175,000 Speculation: ($30,000)†",2025
2025,Jaan Tallinn,Forethought Research,103000.0,Forethought Research,General support,"$103,000 Speculation: ($40,000)†",2025
2025,Jaan Tallinn,Foundation for American Innovation (FAI),777000.0,Foundation for American Innovation,General support,"$777,000 Speculation: ($130,000)†",2025
2025,Jaan Tallinn,ILINA Program,369000.0,Berkeley Existential Risk Initiative,General support of ILINA Program,"$369,000 Speculation: ($210,000)†",2025
2025,Jaan Tallinn,James Payor,202000.0,Good Forever Foundation,General support of research led by James Payor,"$202,000 Speculation: ($210,000)†",2025
2025,Jaan Tallinn,John Wentworth,258000.0,"Lightcone Infrastructure, Inc.",General support of research led by John Wentworth,"$258,000 Speculation: ($200,000)†",2025
2025,Jaan Tallinn,Legal Advocates for Safe Science and Technology (LASST),150000.0,"Legal Advocates for Safe Science and Technology, Inc.",General support,"$150,000 Speculation: ($40,000)† Matching: {$50,000}‡",2025
2025,Jaan Tallinn,Lightcone Infrastructure,1311000.0,"Lightcone Infrastructure, Inc.",General support,"$1,311,000 Speculation: ($150,000)† Matching: {$500,000}‡",2025
2025,Jaan Tallinn,Live Theory,128000.0,"Epistea, z.s.",General support of Live Theory,"$128,000 Speculation: ($30,000)† Matching: {$70,000}‡",2025
2025,Jaan Tallinn,Machine Intelligence Research Institute (MIRI),1607000.0,Machine Intelligence Research Institute,General support,"$1,607,000 Speculation: ($215,000)† Matching: {$1,392,000}‡",2025
2025,Jaan Tallinn,Macrostrategy Research Initiative (MRI),60000.0,Macrostrategy Research Initiative Limited,General support,"$60,000 Speculation: ($80,000)†",2025
2025,Jaan Tallinn,Mathematical Metaphysics Institute,85000.0,Mathematical Metaphysics Institute,General support,"$85,000 Speculation: ($235,000)†",2025
2025,Jaan Tallinn,Meaning Alignment Institute,149000.0,The Hack Foundation,General support of Meaning Alignment Institute,"$149,000 Speculation: ($60,000)†",2025
