grant_id,post_id,award_date,award_year,organization,title,amount_usd,focus_areas,funding_type,url
grants-1608-0,1608,2019-12-30,2019,Iodine Global Network,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/iodine-global-network-general-support-december-2019/
grants-1624-0,1624,2019-12-30,2019,The Good Food Institute,International Expansion of Programs,4000000.0,Alternatives to Animal Products; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/the-good-food-institute-international-work/
grants-1597-0,1597,2019-12-31,2019,Charity Science Health,Operational Support (Exit Grant),214425.0,Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/charity-science-health-exit-grant/
grants-1599-0,1599,2019-12-31,2019,"University of California, Berkeley",AI Safety Research (Jacob Steinhardt),1111000.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/uc-berkeley-ai-safety-research-2019/
grants-1606-0,1606,2019-12-31,2019,Food Fortification Initiative,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/food-fortification-initiative-general-support-december-2019/
grants-1610-0,1610,2020-01-02,2020,Living Goods,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/living-goods-general-support-january-2020/
grants-1622-0,1622,2020-01-02,2020,theguardian.org,Journalism on Factory Farming and Animal Cruelty,900000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/theguardian-org-journalism-on-factory-farming-and-animal-cruelty-2020/
grants-1590-0,1590,2020-01-03,2020,Jason Crawford,The Roots of Progress,75000.0,Other Areas,Grants,https://coefficientgiving.org/grants/jason-crawford-the-roots-of-progress/
grants-1602-0,1602,2020-01-09,2020,Helen Keller International,Vitamin A Supplementation,9709000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/helen-keller-international-vitamin-a-supplementation-january-2020/
grants-1613-0,1613,2020-01-09,2020,Global Alliance for Improved Nutrition,Universal Salt Iodization,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/global-alliance-for-improved-nutrition-universal-salt-iodization-january-2020/
grants-1529-0,1529,2020-01-10,2020,Environment & Animal Society of Taiwan,Farm Animal Welfare Campaigns,521000.0,Broiler Chicken Welfare; Cage-Free Reforms; Farm Animal Welfare; Farm Animal Welfare in Asia; Fish Welfare,Grants,https://coefficientgiving.org/grants/environmental-animal-society-of-taiwan-farm-animal-welfare-campaigns/
grants-1522-0,1522,2020-01-13,2020,Center for Welfare Metrics,Impacts of Animal Welfare Reforms (Contract),784586.0,Cage-Free Reforms; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/center-for-welfare-metrics-impacts-of-animal-welfare-reforms-2020/
grants-1574-0,1574,2020-01-13,2020,Ought,General Support,1593333.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/ought-general-support-2020/
grants-1547-0,1547,2020-01-14,2020,Vegan Women Summit,General Support,5000.0,Alternatives to Animal Products; Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/vegan-women-summit-general-support/
grants-1616-0,1616,2020-01-15,2020,Animal Charity Evaluators,General Support,650000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/animal-charity-evaluators-general-support-2020/
grants-1556-0,1556,2020-01-21,2020,Press Shop,Support for Human Compatible,17000.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/press-shop-support-for-human-compatible/
grants-1543-0,1543,2020-01-22,2020,Samniqueka Halsey,Animal Welfare Research,189000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/university-of-missouri-animal-welfare-research/
grants-1551-0,1551,2020-01-22,2020,Development Media International,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/development-media-international-general-support-january-2020/
grants-1567-0,1567,2020-01-23,2020,YIMBY Law,General Support (Predates Fund),100000.0,Abundance & Growth; Housing Policy Reform,Grants,https://coefficientgiving.org/grants/yimby-law-general-support/
grants-1581-0,1581,2020-01-23,2020,RAND Corporation,Research on the State of AI Assurance Methods,30751.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/rand-corporation-research-on-the-state-of-ai-assurance-methods/
grants-1513-0,1513,2020-01-24,2020,Rethink Priorities,Farm Animal Welfare Research,910000.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/rethink-priorities-farm-animal-welfare-research-2020/
grants-1619-0,1619,2020-01-27,2020,Essere Animali,Farm Animal Welfare Work in Italy,462974.0,Farm Animal Welfare; Farm Animal Welfare in Europe,Grants,https://coefficientgiving.org/grants/essere-animali-farm-animal-welfare-work-in-italy-2020/
grants-1558-0,1558,2020-01-28,2020,Berkeley Existential Risk Initiative,General Support,150000.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/berkeley-existential-risk-initiative-general-support/
grants-1569-0,1569,2020-01-28,2020,World Animal Protection,Farm Animal Welfare in Southeast Asia,400000.0,Farm Animal Welfare; Farm Animal Welfare in Asia,Grants,https://coefficientgiving.org/grants/world-animal-protection-farm-animal-welfare-in-southeast-asia/
grants-1505-0,1505,2020-01-29,2020,Stanford University,AI Safety Seminar (Dorsa Sadigh),6500.0,Navigating Transformative AI,Grants,https://coefficientgiving.org/grants/stanford-university-ai-safety-seminar/
grants-1596-0,1596,2020-01-29,2020,Sightsavers,Deworming Programs,2710100.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/sightsavers-deworming-programs-january-2020/
grants-1531-0,1531,2020-01-30,2020,Krystal Caldwell and Sydney Heiss,Farm Animal Welfare Research (Contract),156781.0,Farm Animal Welfare,Grants,https://coefficientgiving.org/grants/krystal-caldwell-and-sydney-heiss-farm-animal-welfare-research/
grants-1521-0,1521,2020-01-31,2020,Centre for Effective Altruism,Support for The Precipice,38350.0,Global Catastrophic Risks Opportunities,Grants,https://coefficientgiving.org/grants/centre-for-effective-altruism-support-for-the-precipice/
grants-1540-0,1540,2020-01-31,2020,Niskanen Center,Research on Immigration Policy,200000.0,,Grants,https://coefficientgiving.org/grants/niskanen-center-research-on-immigration-policy-2020/
grants-1575-0,1575,2020-01-31,2020,Centre for Effective Altruism,General Support and Community-Building Grants,4146795.0,Global Catastrophic Risks Opportunities,Grants,https://coefficientgiving.org/grants/centre-for-effective-altruism-general-support-and-community-building-grants-2020/
grants-1541-0,1541,2020-02-02,2020,Animal Equality,Cage-Free and Broiler Welfare,1901000.0,Broiler Chicken Welfare; Cage-Free Reforms; Farm Animal Welfare; Farm Animal Welfare in Europe,Grants,https://coefficientgiving.org/grants/animal-equality-cage-free-and-broiler-welfare/
